project,merge commit,left commit,right commit,base commit,className,method,local_clone,local_clone_module_analysis,empty_diff_base_left,empty_diff_base_right,empty_diff_base_merge,,
fitnesse,4d9ba9d221d879507440feb084fa7521b95111ec,d24741cd3,6c383370e,87a4b54f94f7dbe48bdfde0dae874e36d48f43df,fitnesse.testsystems.slim.tables.SlimTableFactory,SlimTableFactory(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/fitnesse,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/fitnesse,false,false,false,"Tranformations were useful in this case, as after change the attribute access modifier, our tool detected the semantic conflict.",
retrofit,71f622ce51031b152a0be6ad5facfb27a654bf5a,e5a6738c,931e29ca,89a60f7f15a9200e0cf8fe157a61caaeba104f7c,retrofit.RequestBuilder,build(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/retrofit,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/retrofit,false,false,false,,
elasticsearch-river-mongodb,3d4f99516ba3177f7d88a1f600923138a8b77cc8,02dc4e1,cbcc295,3d3667e5f36ef35f02c49853551499e7e2ab5e19,org.elasticsearch.river.mongodb.Slurper,assignCollections(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch-river-mongodb,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch-river-mongodb,false,false,false,,
jsoup,a8b6982de98ff76ef254031d7152fff57f6bf941,97c3cb4d,55190398,f2f3e66014a8e85863e31b8b7f7e8ebdde886f1d,org.jsoup.helper.HttpConnection,execute(Connection.Request| Response),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/jsoup,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/jsoup,false,false,false,,
jsoup,3f7d2c71dbbbb289c684f339874eed8ac2747fa0,1b48d15c,c1ee9335,80158d6fa7445506eaaafdeadb1f4dc291ca10a5,org.jsoup.helper.HttpConnection,execute(Connection.Request| Response),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/jsoup,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/jsoup,false,false,false,,
jsoup,a44e18aa3c1fcd25a68a5965f9490d8f7d026509,38e20f43,e064bc48,f9f37e19876202a1db257a9e59452b0f10035fbf,org.jsoup.nodes.TextNode,outerHtmlHead(StringBuilder| int| Document.OutputSettings),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/jsoup,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/jsoup,false,false,false,,
SimianArmy,345ad9513aafff397050d613fa87ad06ddffe99d,82773f0,1f0f595,1ebd3e6d3c64f3041b3ea209fd803805d0832271,com.netflix.simianarmy.basic.janitor.BasicJanitorMonkeyContext,getInstanceJanitor(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/SimianArmy,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/SimianArmy,false,false,false,,
titan,387c16ea05ef9fa312f37139228d2bbf61455ff4,a3a3aca74,43eef3b1e,67bf106dcc7470e2d6b7ef94734f200885bf35ee,com.thinkaurelius.titan.graphdb.database.serialize.SerializerInitialization,initialize(Serializer),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/titan,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/titan,false,false,false,,
Activiti,50d8e43eb5917c63abfbcdec1e68e510943f325a,0aef7d32ea,0606d680fa,cf5d3526516d24e5ea92766f0f67eea6ce34948d,org.activiti.engine.impl.persistence.entity.DeploymentEntityManager,deleteDeployment(String| boolean),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/Activiti,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/Activiti,false,false,false,,
druid,05168808c278c080c59c19e858d9471b316cd1f5,e519f82e87,4f70bbc687,5f2c3cec1b25a8aa3e279e7a14734a8b4f642fc6,com.metamx.druid.loading.S3SegmentPusher,push(File| DataSegment),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/druid,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/druid,false,false,false,,
netty,193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b,b3b096834c,c2417c253c,2fc18a00f6ac61a365b73dd498dd2e38f1efa823,org.jboss.netty.handler.codec.frame.LengthFieldBasedFrameDecoder,decode(ChannelHandlerContext| Channel| ChannelBuffer),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/netty,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/netty,false,false,false,,
OpenTripPlanner,4c506dce43775704919d084f0acfba86d251bf4a,4585d3ae1,aa201f789,787e2cb7704de4f070a1c7556d86e0f30c35b866,org.opentripplanner.routing.spt.MultiShortestPathTree,dominates(State| State),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/OpenTripPlanner,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/OpenTripPlanner,false,false,false,,
webbit,74d2d2b87704d003acacb34e4ca8fb5f897b938f,0d57793,92c8b28,2ba2b9b0403b9973d26fbc7c2be95fb993d318a2,org.webbitserver.netty.WebSocketClient,adjustPipelineToWebSocket(ChannelHandlerContext| MessageEvent| ChannelHandler| ChannelHandler),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/webbit,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/webbit,false,false,false,,
