Sample,Semantic Conflict,Commit,Project,Class,Build Manager,Original Version,Transformed Version
Leuson,Yes,bd1f5c54752f67b484a83c26667331234234d3a3,https://github.com/Apache/Storm,KafkaSpout.emitTupleIfNotEmitted,Maven,https://github.com/spgroup/mergedataset/tree/master/storm/bd1f5c54752f67b484a83c26667331234234d3a3/original,https://github.com/spgroup/mergedataset/tree/master/storm/bd1f5c54752f67b484a83c26667331234234d3a3/transformed
Roberto,Yes,4d9ba9d221d879507440feb084fa7521b95111ec,https://github.com/unclebob/fitnesse,SlimTableFactory (constructor),Ant,https://github.com/spgroup/mergedataset/tree/master/fitnesse/4d9ba9d221d879507440feb084fa7521b95111ec/original,https://github.com/spgroup/mergedataset/tree/master/fitnesse/4d9ba9d221d879507440feb084fa7521b95111ec/transformed
Roberto,Yes,71f622ce51031b152a0be6ad5facfb27a654bf5a,https://github.com/square/retrofit,RequestBuilder.build,Maven,https://github.com/spgroup/mergedataset/tree/master/retrofit/71f622ce51031b152a0be6ad5facfb27a654bf5a,
Roberto,Yes,3d4f99516ba3177f7d88a1f600923138a8b77cc8,https://github.com/richardwilly98/elasticsearch-river-mongodb,Slurper.assignCollections,Maven,https://github.com/spgroup/mergedataset/tree/master/elasticsearch-river-mongodb/3d4f99516ba3177f7d88a1f600923138a8b77cc8/original,https://github.com/spgroup/mergedataset/tree/master/elasticsearch-river-mongodb/3d4f99516ba3177f7d88a1f600923138a8b77cc8/transformed
Roberto,Yes,a44e18aa3c1fcd25a68a5965f9490d8f7d026509,https://github.com/jhy/jsoup,TextNode.outerHtmlHead,Maven,https://github.com/spgroup/mergedataset/tree/master/jsoup/a44e18aa3c1fcd25a68a5965f9490d8f7d026509,
Roberto,Yes,345ad9513aafff397050d613fa87ad06ddffe99d,https://github.com/Netflix/SimianArmy,BasicJanitorMonkeyContext.getInstanceJanitor,Gradle,https://github.com/spgroup/mergedataset/tree/master/SimianArmy/345ad9513aafff397050d613fa87ad06ddffe99d,
Roberto,Yes,50d8e43eb5917c63abfbcdec1e68e510943f325a,https://github.com/Activiti/Activiti,DeploymentEntityManager.deleteDeployment,Maven,https://github.com/spgroup/mergedataset/tree/master/activiti/50d8e43eb5917c63abfbcdec1e68e510943f325a,
Roberto,Yes,05168808c278c080c59c19e858d9471b316cd1f5,https://github.com/metamx/druid,S3SegmentPusher.push,Maven,https://github.com/spgroup/mergedataset/tree/master/druid/05168808c278c080c59c19e858d9471b316cd1f5,
Roberto,Yes,193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b,https://github.com/netty/netty,LengthFieldBasedFrameDecoder.decode,Maven,https://github.com/spgroup/mergedataset/tree/master/netty/193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b/original,https://github.com/spgroup/mergedataset/tree/master/netty/193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b/transformed
Roberto,Yes,4c506dce43775704919d084f0acfba86d251bf4a,https://github.com/opentripplanner/OpenTripPlanner,MultiShortestPathTree.dominates,Maven,https://github.com/spgroup/mergedataset/tree/master/OpenTripPlanner/4c506dce43775704919d084f0acfba86d251bf4a/original,https://github.com/spgroup/mergedataset/tree/master/OpenTripPlanner/4c506dce43775704919d084f0acfba86d251bf4a/transformed
Roberto,Yes,74d2d2b87704d003acacb34e4ca8fb5f897b938f,https://github.com/webbit/webbit,WebSocketClient$HandshakeChannelHandler.adjustPipelineToWebSocket,Maven,https://github.com/spgroup/mergedataset/tree/master/webbit/74d2d2b87704d003acacb34e4ca8fb5f897b938f/original,https://github.com/spgroup/mergedataset/tree/master/webbit/74d2d2b87704d003acacb34e4ca8fb5f897b938f/transformed
Roberto,Yes,6b09030e95e118a784ca7ec616398a4f0e384bcd,https://github.com/Netflix/eureka,ApplicationInfoManager.constructor(),Gradle,https://github.com/spgroup/mergedataset/tree/master/eureka/6b09030e95e118a784ca7ec616398a4f0e384bcd,
Roberto,Yes,3f7d2c71dbbbb289c684f339874eed8ac2747fa0,https://github.com/jhy/jsoup,HttpConnection,Maven,https://github.com/spgroup/mergedataset/tree/master/jsoup/3f7d2c71dbbbb289c684f339874eed8ac2747fa0,
Roberto,Yes,a8b6982de98ff76ef254031d7152fff57f6bf941,https://github.com/jhy/jsoup,HttpConnection,Maven,https://github.com/spgroup/mergedataset/tree/master/jsoup/a8b6982de98ff76ef254031d7152fff57f6bf941,
Guilherme,Yes,867b917c43c32acbdcac55767e7f04334006c866,https://github.com/resty-gwt/resty-gwt,DirectRestServiceInterfaceClassCreator.getMethodCallback,Maven,https://github.com/spgroup/mergedataset/tree/master/resty-gwt/867b917c43c32acbdcac55767e7f04334006c866,
Leuson,Yes,ad2be678831b3b060229fd936e3908110162b7ac,https://github.com/Apache/Storm,KafkaSpoutConfig.toString,Maven,https://github.com/spgroup/mergedataset/tree/master/storm/ad2be678831b3b060229fd936e3908110162b7ac/original,https://github.com/spgroup/mergedataset/tree/master/storm/ad2be678831b3b060229fd936e3908110162b7ac/transformed
Guilherme,Yes,d96120f327107feb1ebb15e7c090dc38eeff72ca,https://github.com/jOOQ/jOOQ,DSL.coalesce,Maven,https://github.com/spgroup/mergedataset/tree/master/jOOQ/d96120f327107feb1ebb15e7c090dc38eeff72ca,
Roberto,Yes,ffc0c6e274094c6423e29d1c45bab1593b8fac7d,atmosphere/atmosphere,AtmosphereConfig,Maven,https://github.com/spgroup/mergedataset/tree/master/atmosphere/ffc0c6e274094c6423e29d1c45bab1593b8fac7d,
Guilherme,Yes,e825a7fdc6ef688f1253b93d2cb236e710acfc56,https://github.com/kongchen/swagger-maven-plugin,AbstractReader.hasValidAnnotations,Maven,https://github.com/spgroup/mergedataset/tree/master/swagger-maven-plugin/e825a7fdc6ef688f1253b93d2cb236e710acfc56,
DeSouza,Yes,ea8107b6a53fa60b5f23b33e1b6d2e88bb60133c,https://github.com/spring-projects/spring-boot,UndertowEmbeddedServletContainerFactory,Maven,https://github.com/spgroup/mergedataset/tree/master/spring-boot/ea8107b6a53fa60b5f23b33e1b6d2e88bb60133c/original,https://github.com/spgroup/mergedataset/tree/master/spring-boot/ea8107b6a53fa60b5f23b33e1b6d2e88bb60133c/transformed
DeSouza,Yes,af20dc6cc45c032573413c401f9f73aa75371744,https://github.com/spring-projects/spring-boot,ExplodedArchive,Maven,https://github.com/spgroup/mergedataset/tree/master/spring-boot/af20dc6cc45c032573413c401f9f73aa75371744/original,https://github.com/spgroup/mergedataset/tree/master/spring-boot/af20dc6cc45c032573413c401f9f73aa75371744/transformed
