Sample,Semantic Conflict,Commit,Project,Class,Build Manager,Original Version,Transformed Version
DeSouza,Yes,36884807b3cc9d660db4da062275c7fdbec8ba67,https://github.com/elastic/elasticsearch,SimpleIndexQueryParserTests,Maven,https://github.com/spgroup/mergedataset/tree/master/elasticsearch/36884807b3cc9d660db4da062275c7fdbec8ba67/original ,https://github.com/spgroup/mergedataset/tree/master/elasticsearch/36884807b3cc9d660db4da062275c7fdbec8ba67/transformed
DeSouza,Yes,59cb67c7bd0ab6311115b20954e013412b676b29,https://github.com/elastic/elasticsearch,NestedInnerQueryParseSupport,Maven,https://github.com/spgroup/mergedataset/tree/master/elasticsearch/59cb67c7bd0ab6311115b20954e013412b676b29/original,https://github.com/spgroup/mergedataset/tree/master/elasticsearch/59cb67c7bd0ab6311115b20954e013412b676b29/transformed
DeSouza,Yes,f3d63095dbcc985e24162fbac4ee0d6914dc757d,https://github.com/elastic/elasticsearch,SynonymsAnalysisTest,Maven,https://github.com/spgroup/mergedataset/tree/master/elasticsearch/f3d63095dbcc985e24162fbac4ee0d6914dc757d/original,https://github.com/spgroup/mergedataset/tree/master/elasticsearch/f3d63095dbcc985e24162fbac4ee0d6914dc757d/transformed
DeSouza,Yes,af114d180da6ec5633d32c701ff5467f7629fcf3,https://github.com/PhilJay/MPAndroidChart,SimpleFragment,Gradle,https://github.com/spgroup/mergedataset/tree/master/MPAndroidChart/af114d180da6ec5633d32c701ff5467f7629fcf3,
DeSouza,Yes,9531ba69895cd64fce48038ffd8df2543eeea1d2,https://github.com/PhilJay/MPAndroidChart,PieChartRenderer,Gradle,https://github.com/spgroup/mergedataset/tree/master/MPAndroidChart/9531ba69895cd64fce48038ffd8df2543eeea1d2,
DeSouza,Yes,9531ba69895cd64fce48038ffd8df2543eeea1d2,https://github.com/PhilJay/MPAndroidChart,LineChartRenderer,Gradle,https://github.com/spgroup/mergedataset/tree/master/MPAndroidChart/9531ba69895cd64fce48038ffd8df2543eeea1d2,
DeSouza,Yes,35166168529bd27281685e56a0a122eff44460e9,https://github.com/square/okhttp,OkHttpClient,Maven,https://drive.google.com/file/d/1WFPsTwSZpGKOa4CTjFdqOjQ_PNWAOwlY/view?usp=sharing,
Leuson,Yes,69ff2669eec265e25721dbc27cb00f6c381d0b41,https://github.com/Antlr4/Antlr4,Python2Target.python2Keywords,Maven,https://github.com/spgroup/mergedataset/tree/master/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/original,https://github.com/spgroup/mergedataset/tree/master/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/transformed
Leuson,Yes,69ff2669eec265e25721dbc27cb00f6c381d0b41,https://github.com/Antlr4/Antlr4,Python3Target.python3Keywords,Maven,https://github.com/spgroup/mergedataset/tree/master/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/original,https://github.com/spgroup/mergedataset/tree/master/antlr4/69ff2669eec265e25721dbc27cb00f6c381d0b41/transformed
Leuson,Yes,20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76,https://github.com/CloudSlang/cloud-slang,SlangImpl.getAllEventTypes,Maven,https://github.com/spgroup/mergedataset/tree/master/cloud-slang/20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76,
