Sample,Locally Observable Interference,Manually Analyzed,Commit,Project,Class,Declaration,Build Manager,Original Version,Transformed Version,Original Without Dependencies Version,Additional Changes on Source Code
DeSouza,No,Additional Check,c1d44780675a9ff43e87a44f62969a0214928988,https://github.com/elastic/elasticsearch,org.elasticsearch.action.IndexRequest,,Gradle,,,https://github.com/spgroup/mergedataset/tree/master/elasticsearch/c1d44780675a9ff43e87a44f62969a0214928988/original-without-dependencies,No
DeSouza,No,Additional Check,d896886973660785aac45275ddb110c1a6babc57,https://github.com/elastic/elasticsearch,org.elasticsearch.action.DocWriteResponse.writeTo,,Gradle,,,https://github.com/spgroup/mergedataset/tree/master/elasticsearch/d896886973660785aac45275ddb110c1a6babc57/original-without-dependencies,No
DeSouza,No,Additional Check,d896886973660785aac45275ddb110c1a6babc57,https://github.com/elastic/elasticsearch,org.elasticsearch.action.DocWriteResponse.readFrom,,Gradle,,,https://github.com/spgroup/mergedataset/tree/master/elasticsearch/d896886973660785aac45275ddb110c1a6babc57/original-without-dependencies,No
DeSouza,No,Additional Check,d896886973660785aac45275ddb110c1a6babc57,https://github.com/elastic/elasticsearch,org.elasticsearch.action.DocWriteResponse.toXContent,,Gradle,,,https://github.com/spgroup/mergedataset/tree/master/elasticsearch/d896886973660785aac45275ddb110c1a6babc57/original-without-dependencies,No
Roberto,No,Additional Check,4d9ba9d221d879507440feb084fa7521b95111ec,https://github.com/unclebob/fitnesse,SlimTableFactoryTest.setUp,,Ant,,,https://github.com/spgroup/mergedataset/tree/master/fitnesse/4d9ba9d221d879507440feb084fa7521b95111ec/original-without-dependencies,Yes
Leuson,No,Additional Check,20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76,https://github.com/CloudSlang/cloud-slang,SlangImplTest.ALL_EVENTS_SIZE,,Maven,,,https://github.com/spgroup/mergedataset/tree/master/cloud-slang/20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76/original-without-dependencies,No
DeSouza,No,Additional Check,af20dc6cc45c032573413c401f9f73aa75371744,https://github.com/spring-projects/spring-boot,ExplodedArchiveTests,,Maven,https://github.com/spgroup/mergedataset/tree/master/spring-boot/af20dc6cc45c032573413c401f9f73aa75371744/original,https://github.com/spgroup/mergedataset/tree/master/spring-boot/af20dc6cc45c032573413c401f9f73aa75371744/transformed,https://github.com/spgroup/mergedataset/tree/master/spring-boot/af20dc6cc45c032573413c401f9f73aa75371744/original-without-dependencies,No
DeSouza,No,Additional Check,fdd3f12ee0f92ac18844c08bf71df39feebb6673,https://github.com/spring-projects/spring-boot,AutoConfigurationReportLoggingInitializer,,Maven,https://github.com/spgroup/mergedataset/tree/master/spring-boot/fdd3f12ee0f92ac18844c08bf71df39feebb6673/original,,https://github.com/spgroup/mergedataset/tree/master/spring-boot/fdd3f12ee0f92ac18844c08bf71df39feebb6673/original-without-dependencies,Yes
DeSouza,No,Additional Check,6664ce19d6f2388ebd6cf54763f54fdddd226b9a,https://github.com/spring-projects/spring-boot,AtomikosProperties,,Maven,https://github.com/spgroup/mergedataset/tree/master/spring-boot/6664ce19d6f2388ebd6cf54763f54fdddd226b9a/original,,https://github.com/spgroup/mergedataset/tree/master/spring-boot/6664ce19d6f2388ebd6cf54763f54fdddd226b9a/original-without-dependencies,Yes
DeSouza,No,Additional Check,2d4e68a9777601bfb8309c94d8b74bc21be80ad1,https://github.com/spring-projects/spring-boot,TomcatEmbeddedServletContainerFactory,,Maven,https://github.com/spgroup/mergedataset/tree/master/spring-boot/2d4e68a9777601bfb8309c94d8b74bc21be80ad1/original,,https://github.com/spgroup/mergedataset/tree/master/spring-boot/2d4e68a9777601bfb8309c94d8b74bc21be80ad1/original-without-dependencies,Yes
DeSouza,No,Additional Check,958a0a45f164601d01cb706c19f22ed3e25eff56,https://github.com/spring-projects/spring-boot,MongoProperties,,Maven,https://github.com/spgroup/mergedataset/tree/master/spring-boot/958a0a45f164601d01cb706c19f22ed3e25eff56/original,,https://github.com/spgroup/mergedataset/tree/master/spring-boot/958a0a45f164601d01cb706c19f22ed3e25eff56/original-without-dependencies,Yes
DeSouza,No,Additional Check,3444ebbc05b99a164474c14d6a6784f749514428,https://github.com/spring-projects/spring-boot,SpringBootServletInitializer,,Maven,https://github.com/spgroup/mergedataset/tree/master/spring-boot/3444ebbc05b99a164474c14d6a6784f749514428/original,,https://github.com/spgroup/mergedataset/tree/master/spring-boot/3444ebbc05b99a164474c14d6a6784f749514428/original-without-dependencies,Yes
DeSouza,No,Additional Check,074771ec125dd407af0282b92960e9e9e3377e84,https://github.com/spring-projects/spring-boot,SpringBootServletInitializer,,Maven,https://github.com/spgroup/mergedataset/tree/master/spring-boot/074771ec125dd407af0282b92960e9e9e3377e84/original,,https://github.com/spgroup/mergedataset/tree/master/spring-boot/074771ec125dd407af0282b92960e9e9e3377e84/original-without-dependencies,Yes
DeSouza,No,Additional Check,c93ea54ea3e08eaa2a17640d5d2b3e60264c1a9c,https://github.com/spring-projects/spring-boot,RedisCacheConfiguration,,Maven,https://github.com/spgroup/mergedataset/tree/master/spring-boot/c93ea54ea3e08eaa2a17640d5d2b3e60264c1a9c/original,,https://github.com/spgroup/mergedataset/tree/master/spring-boot/c93ea54ea3e08eaa2a17640d5d2b3e60264c1a9c/original-without-dependencies,Yes
Guilherme ,No,Additional Check,0d29fd9917e6e53993ea96798b84e945d17aa41e,https://github.com/sanity/quickml,quickdt.experiments.OutOfTimeCrossValidatorRunner,,Maven,,https://github.com/spgroup/mergedataset/tree/master/quickml/0d29fd9917e6e53993ea96798b84e945d17aa41e/transformed,,No
Guilherme ,No,Additional Check,204635d9156b498079c2f34b821dca7ca1711ef6,https://github.com/vavr-io/vavr,javaslang.control.Validation,,Maven,https://github.com/spgroup/mergedataset/tree/master/vavr/204635d9156b498079c2f34b821dca7ca1711ef6/original,https://github.com/spgroup/mergedataset/tree/master/vavr/204635d9156b498079c2f34b821dca7ca1711ef6/transformed,,No
Leuson ,Yes,Additional Check,6fdb8f27b53c5d69b552341a459d0e1fa610f68d,https://github.com/yasserg/crawler4j,edu.uci.ics.crawler4j.parser.Parser,parse(Page| String),Maven,,,,No
Leuson ,Yes,Additional Check,afb82cb3e890d075e1786cb900ec18a87fc24758,https://github.com/square/moshi,com.squareup.moshi.ClassJsonAdapter,create(Type| Set<Annotations>| com.square.moshi.Moshi),Maven,,,,No
Guilherme,-,Additional Check,204635d9156b498079c2f34b821dca7ca1711ef6,https://github.com/vavr-io/vavr,javaslang.collection.HashSet,of(T),Maven,,,,No
Guilherme,-,Additional Check,204635d9156b498079c2f34b821dca7ca1711ef6,https://github.com/vavr-io/vavr,javaslang.collection.LinkedHashSet,of(T),Maven,,,,No
Guilherme,-,Additional Check,204635d9156b498079c2f34b821dca7ca1711ef6,https://github.com/vavr-io/vavr,javaslang.collection.CharSeq,of(char),Maven,,,,No
Guilherme,-,Additional Check,204635d9156b498079c2f34b821dca7ca1711ef6,https://github.com/vavr-io/vavr,javaslang.collection.Iterator,of(T),Maven,,,,No
