project,merge commit,left commit,right commit,base commit,className,method,local_clone,local_clone_module_analysis,empty_diff_base_left,empty_diff_base_right,empty_diff_base_merge,,
elasticsearch,59cb67c7bd0ab6311115b20954e013412b676b29,8757af2d928,8ff1efbcf05,2336da1704627c236e6eca214614e748d195794d,org.elasticsearch.index.query.support.NestedInnerQueryParseSupport | org.elasticsearch.index.mapper.object.ObjectMapper,setPathLevel(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,false,false,false,,
elasticsearch,59cb67c7bd0ab6311115b20954e013412b676b29,8757af2d928,8ff1efbcf05,2336da1704627c236e6eca214614e748d195794d,org.elasticsearch.index.query.MultiMatchQueryBuilder | org.elasticsearch.common.xcontent.XContentBuilder | org.elasticsearch.common.xcontent.ToXContent.MapParams,doXContent(org.elasticsearch.common.xcontent.XContentBuilder| org.elasticsearch.common.xcontent.ToXContent$Params),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,false,false,false,,
elasticsearch,f3d63095dbcc985e24162fbac4ee0d6914dc757d,be638fb6ef8,4010e7e9a71,dcf3f4679f5ca7cac6913ef247b7c6323af6997c,org.elasticsearch.index.analysis.synonyms.SynonymsAnalysisTest,testSynonymsAnalysis(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,false,false,false,,
elasticsearch,f3d63095dbcc985e24162fbac4ee0d6914dc757d,be638fb6ef8,4010e7e9a71,dcf3f4679f5ca7cac6913ef247b7c6323af6997c,org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests,testQueryModeCommonGramsAnalysis(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,false,false,false,,
elasticsearch,f3d63095dbcc985e24162fbac4ee0d6914dc757d,be638fb6ef8,4010e7e9a71,dcf3f4679f5ca7cac6913ef247b7c6323af6997c,org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests,testCommonGramsAnalysis(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,false,false,false,,
elasticsearch,f3d63095dbcc985e24162fbac4ee0d6914dc757d,be638fb6ef8,4010e7e9a71,dcf3f4679f5ca7cac6913ef247b7c6323af6997c,org.elasticsearch.index.analysis.KuromojiAnalysisTests,createAnalysisService(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,false,false,false,,
elasticsearch,36884807b3cc9d660db4da062275c7fdbec8ba67,6046ecbab32,11db3170cd3,24ffcc28ac67dbd9ca6e27642121af17f7aaced7,org.elasticsearch.index.query.SimpleIndexQueryParserTests,setup(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/elasticsearch,false,false,false,,
okhttp,35166168529bd27281685e56a0a122eff44460e9,60e5bc087,870ae218c,46ea47b8f959249d7d79791385696a9b0294b950,com.squareup.okhttp.OkHttpClient,copyWithDefaults(),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/okhttp,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/okhttp,false,false,false,,
resty-gwt,867b917c43c32acbdcac55767e7f04334006c866,05733cb,9d45c90,3f31a3f9f78c642fa0035c932ccdf1ff4c5e5583,org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator,getMethodCallback(JMethod),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/resty-gwt,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/resty-gwt,false,false,false,,
jOOQ,d96120f327107feb1ebb15e7c090dc38eeff72ca,3b842b687,6ae884b87,c5b5a73051bf2a9a525eb719d49d7f24aa5df9fb,org.jooq.impl.DSL | org.jooq.impl.QualifiedField,countDistinct(org.jooq.Field<?>),/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/jOOQ,/home/leusonmario/Documentos/PHD/Research/mining-new-format/miningframework/clonedRepositories/jOOQ,false,false,false,Deveria ser coalesce,
