project;merge commit;className;method;left modifications;left deletions;right modifications;right deletions
resty-gwt;867b917c43c32acbdcac55767e7f04334006c866;org.fusesource.restygwt.rebind.DirectRestServiceInterfaceClassCreator;getMethodCallback(JMethod);[83, 84, 85];[];[86, 87, 88, 89, 90, 91];[]
Handy-URI-Templates;6553ba922d3cac5e736cf4fe7345af691334626b;com.damnhandy.uri.template.UriTemplate;joinParts(Expression, List<String>);[1024, 997, 1015, 1002, 1005];[];[1024, 997, 1015, 1002, 1005];[]
Handy-URI-Templates;6553ba922d3cac5e736cf4fe7345af691334626b;com.damnhandy.uri.template.TestExpandPartial;shouldUseSeperatorIfOnlySecondVariableForExpressionIsProvided();[101];[];[101];[]
editorconfig-netbeans;53d7a09368b0bfb39534f31bf67dbc9986da85d5;com.welovecoding.netbeans.plugin.editorconfig.listener.EditorConfigProcessor;applyEditorConfigRules(DataObject);[113];[];[96, 87, 120, 121];[]
closure-compiler;96e918311f265bdd989e10c331fe014c812f4f6b;com.google.javascript.jscomp.CommandLineRunner;initConfigFromFlags(String[], PrintStream, PrintStream);[1024, 993, 1025, 1027, 1028, 1029, 1030, 1031, 1000, 1033, 973, 1012, 985, 1018, 1086, 1022, 991, 1023];[];[979, 1064, 989];[]
pushy;58901c846e4f0874977c5aabbc34bcb4de3670e0;com.relayrides.pushy.apns.PushManager;handleConnectionFailure(ApnsConnection<T>, Throwable);[481, 482, 483, 484, 485, 476, 478];[];[490];[]
pushy;58901c846e4f0874977c5aabbc34bcb4de3670e0;com.relayrides.pushy.apns.PushManager;handleConnectionClosure(ApnsConnection<T>);[520, 510];[];[515, 500, 502, 503];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tatp.procedures.GetSubscriberData;run(Connection, long);[55];[];[55];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.auctionmark.util.ItemId;COMPOSITE_BITS;[41];[];[41];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.seats.procedures.FindFlights;run(Connection, long, long, Timestamp, Timestamp, long);[192, 190];[];[192, 190];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.twitter.procedures.GetTweetsFromFollowing;run(Connection, int);[62, 63];[];[62, 63];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.twitter.procedures.GetUserTweets;run(Connection, long);[22, 23];[];[22, 23];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.api.AbstractTestBenchmarkModule;testGetDatabaseDDL();[39, 41];[];[39, 41];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.ThreadBench;calculateNext();[134];[];[134];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.ThreadBench;iterator();[86];[];[86];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.ThreadBench;TimeBucketIterable(Iterable<Sample>, int);[81];[];[81];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.ThreadBench;TimeBucketIterator(Iterator<LatencyRecord.Sample>, int);[109];[];[109];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.TPCCConstants;TABLENAME_ITEM;[6];[];[6];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.TPCCConstants;TABLENAME_OPENORDER;[10];[];[10];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.TPCCConstants;TABLENAME_NEWORDER;[12];[];[12];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.TPCCConstants;TABLENAME_DISTRICT;[4];[];[4];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.TPCCConstants;TABLENAME_STOCK;[7];[];[7];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.TPCCConstants;TABLENAME_CUSTOMER;[8];[];[8];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.TPCCConstants;TABLENAME_HISTORY;[9];[];[9];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.TPCCConstants;TABLENAME_ORDERLINE;[11];[];[11];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.TPCCConstants;TABLENAME_WAREHOUSE;[5];[];[5];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.auctionmark.util.UserId;COMPOSITE_BITS;[35];[];[35];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.twitter.procedures.GetFollowers;run(Connection, long);[42, 43];[];[42, 43];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.wikipedia.WikipediaLoader;loadWatchlist();[309, 310, 311, 312];[];[309, 310, 311, 312];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.wikipedia.WikipediaLoader;loadPages();[236, 252, 237, 253, 238, 254, 239];[];[236, 252, 237, 253, 238, 254, 239];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.wikipedia.WikipediaLoader;loadUsers();[152, 153, 154, 155, 172];[];[152, 153, 154, 155, 172];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.wikipedia.WikipediaLoader;loadRevision();[389, 519, 487, 488, 521, 489, 426, 430, 378, 379, 380, 445, 381, 447];[];[389, 519, 487, 488, 521, 489, 426, 430, 378, 379, 380, 445, 381, 447];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tatp.procedures.GetAccessData;run(Connection, long, byte);[57];[];[57];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.util.ScriptRunner;runScript(File);[95];[];[95];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery;deliveryTransaction(int, int, Connection, TPCCWorker);[130, 167, 92];[];[130, 167, 92];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery;delivGetCustIdSQL;[23, 24, 25];[];[23, 24, 25];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery;delivUpdateDeliveryDateSQL;[32, 29, 30, 31];[];[32, 29, 30, 31];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery;delivUpdateCustBalDelivCntSQL;[36, 37, 38, 39, 40];[];[36, 37, 38, 39, 40];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery;delivUpdateCarrierIdSQL;[26, 27, 28];[];[26, 27, 28];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery;delivSumOrderAmountSQL;[33, 34, 35];[];[33, 34, 35];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery;delivGetOrderIdSQL;[18, 19];[];[18, 19];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery;delivDeleteNewOrderSQL;[21, 22];[];[21, 22];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.NewOrder;stmtGetDistSQL;[29, 30];[];[29, 30];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.NewOrder;stmtInsertNewOrderSQL;[33];[];[33];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.NewOrder;stmtGetStockSQL;[43, 44, 45];[];[43, 44, 45];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.NewOrder;newOrderTransaction(int, int, int, int, int, int[], int[], int[], Connection, TPCCWorker);[228, 165, 229, 230, 166, 231, 232, 233, 234, 235, 236, 237, 238, 239, 212, 213, 150, 214, 151, 152, 153];[];[228, 165, 229, 230, 166, 231, 232, 233, 234, 235, 236, 237, 238, 239, 212, 213, 150, 214, 151, 152, 153];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.NewOrder;stmtInsertOOrderSQL;[38];[];[38];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.NewOrder;stmtUpdateDistSQL;[35];[];[35];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.NewOrder;stmtGetItemSQL;[41];[];[41];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.NewOrder;stmtGetCustWhseSQL;[23, 25, 26];[];[23, 25, 26];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.NewOrder;stmtInsertOrderLineSQL;[50, 51];[];[50, 51];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.NewOrder;stmtUpdateStockSQL;[48, 47];[];[48, 47];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.wikipedia.procedures.AddWatchList;run(Connection, int, int, String);[66];[];[66];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.twitter.procedures.GetTweet;run(Connection, long);[21, 22];[];[21, 22];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.StockLevel;stockGetCountStockSQL;[22, 24, 25, 26, 27, 28, 29];[];[22, 24, 25, 26, 27, 28, 29];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.StockLevel;stockLevelTransaction(int, int, int, Connection, TPCCWorker);[89, 74];[];[89, 74];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.StockLevel;stockGetDistOrderIdSQL;[20];[];[20];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.voter.VoterLoader;load();[66, 67, 69, 70, 75, 76];[];[66, 67, 69, 70, 75, 76];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.LatencyRecord;addLatency(int, long, long, int, int);[66, 67, 68, 70, 56, 59, 61, 62];[];[66, 67, 68, 70, 56, 59, 61, 62];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.LatencyRecord;values;[36];[];[36];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.LatencyRecord;next();[144, 160, 145, 148, 149, 150, 157, 158];[];[144, 160, 145, 148, 149, 150, 157, 158];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.LatencyRecord;allocateChunk();[75, 76];[];[75, 76];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.LatencyRecord;size();[83, 86];[];[83, 86];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.auctionmark.AuctionMarkWorker;executeNewPurchase(NewPurchase);[829];[];[829];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.catalog.TestCatalog;testInit();[55];[];[55];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tatp.procedures.GetNewDestination;run(Connection, long, byte, byte, byte);[67];[];[67];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.twitter.TwitterWorker;doSelectTweetsForUid(int);[98];[];[98];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.twitter.TwitterWorker;doSelect1Tweet(int);[80];[];[80];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.Payment;payInsertHistSQL;[40];[];[40];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.Payment;payUpdateWhseSQL;[24];[];[24];[]
oltpbench;fc81095071ce840208ca5185788607afd6e6b1c5;com.oltpbenchmark.benchmarks.tpcc.procedures.Payment;payGetWhseSQL;[25, 26];[];[25, 26];[]
